id,mu_global,mu_source1,mu_source2,issoil,share,seq,su_sym74,su_code74,su_sym85,su_code85,su_sym90,su_code90,t_texture,drainage,ref_depth,awc_class,phase1,phase2,roots,il,swr,add_prop,t_gravel,t_sand,t_silt,t_clay,t_usda_tex_class,t_ref_bulk_density,t_bulk_density,t_oc,t_ph_h2o,t_cec_clay,t_cec_soil,t_bs,t_teb,t_caco3,t_caso4,t_esp,t_ece,s_gravel,s_sand,s_silt,s_clay,s_usda_tex_class,s_ref_bulk_density,s_bulk_density,s_oc,s_ph_h2o,s_cec_clay,s_cec_soil,s_bs,s_teb,s_caco3,s_caso4,s_esp,s_ece
11345,10730,4400453,4401570,1,50.0,1,-9999,-9999,Jeg,119,FLe,2,3,1,100,1,10,-9999,1,1,2,0,4,19,32,49,3,1.24,1.27,1.19,6.2,38.0,24.0,91.0,22.7,0.0,0.0,1.0,0.1,3,21,32,47,3,1.24,1.39,0.55,6.8,41.0,20.0,99.0,18.2,0.2,0.0,2.0,0.1
11349,10731,4400454,4401575,1,60.0,1,-9999,-9999,Jeg,119,FLe,2,3,1,100,1,10,-9999,0,0,0,0,4,19,32,49,3,1.24,1.27,1.19,6.2,38.0,24.0,91.0,22.7,0.0,0.0,1.0,0.1,3,21,32,47,3,1.24,1.39,0.55,6.8,41.0,20.0,99.0,18.2,0.2,0.0,2.0,0.1
11354,10732,4400455,4401580,1,60.0,1,-9999,-9999,Jcg,114,FLc,3,3,1,100,1,10,-9999,1,1,3,0,4,14,39,47,3,1.23,1.41,0.97,8.0,51.0,28.0,100.0,22.3,13.3,0.0,2.0,1.0,3,15,40,45,3,1.24,1.46,0.45,7.9,51.0,21.0,100.0,20.9,19.2,0.2,3.0,1.9
11357,10733,4400457,4401588,1,80.0,1,-9999,-9999,Jcg,114,FLc,3,1,2,100,1,10,-9999,1,1,2,0,10,79,15,6,12,1.66,1.4,0.41,8.3,109.0,6.0,100.0,11.0,9.1,0.0,4.0,0.4,10,79,15,6,12,1.66,1.5,0.17,8.3,137.0,6.0,94.0,13.9,9.9,0.0,4.0,0.4
11360,10734,4400458,4401591,1,80.0,1,-9999,-9999,Jcg,114,FLc,3,1,2,100,1,10,-9999,0,0,0,0,10,79,15,6,12,1.66,1.4,0.41,8.3,109.0,6.0,100.0,11.0,9.1,0.0,4.0,0.4,10,79,15,6,12,1.66,1.5,0.17,8.3,137.0,6.0,94.0,13.9,9.9,0.0,4.0,0.4
11363,10735,4400459,4401594,1,45.0,1,-9999,-9999,Ges,71,GLe,10,3,1,100,4,-9999,-9999,1,4,3,0,1,17,32,51,3,1.22,1.25,1.25,5.8,37.0,25.0,78.0,18.9,0.0,0.0,2.0,0.1,1,19,29,52,3,1.23,1.35,0.45,6.0,40.0,23.0,84.0,17.0,0.0,0.0,3.0,0.1
11367,10736,4400460,4401598,1,40.0,1,-9999,-9999,Ges,71,GLe,10,2,2,100,1,-9999,-9999,0,0,0,0,4,37,40,23,9,1.38,1.35,1.07,6.2,41.0,13.0,88.0,10.2,0.0,0.0,2.0,0.1,5,36,36,28,5,1.35,1.5,0.37,6.6,42.0,13.0,90.0,11.9,0.0,0.0,2.0,0.1
11371,10737,4400461,4401602,1,60.0,1,-9999,-9999,Ges,71,GLe,10,3,1,100,1,-9999,-9999,1,3,3,0,1,17,32,51,3,1.22,1.25,1.25,5.8,37.0,25.0,78.0,18.9,0.0,0.0,2.0,0.1,1,19,29,52,3,1.23,1.35,0.45,6.0,40.0,23.0,84.0,17.0,0.0,0.0,3.0,0.1
11375,10738,4400462,4401607,1,40.0,1,-9999,-9999,Ges,71,GLe,10,3,1,100,4,-9999,-9999,1,4,3,0,1,17,32,51,3,1.22,1.25,1.25,5.8,37.0,25.0,78.0,18.9,0.0,0.0,2.0,0.1,1,19,29,52,3,1.23,1.35,0.45,6.0,40.0,23.0,84.0,17.0,0.0,0.0,3.0,0.1
11379,10739,4400463,4401612,1,70.0,1,-9999,-9999,Gds,67,GLd,12,2,2,100,4,-9999,-9999,1,4,3,0,2,40,39,21,9,1.4,1.3,1.17,5.1,25.0,11.0,47.0,5.5,0.0,0.0,1.0,0.1,6,41,34,25,9,1.38,1.36,0.4,5.3,29.0,10.0,47.0,6.1,0.0,0.0,1.0,0.1
11382,10740,4400464,4401617,1,70.0,1,-9999,-9999,Gm,84,GLm,14,1,2,100,1,-9999,-9999,1,1,2,0,10,76,14,10,11,1.58,1.48,0.89,6.4,43.0,8.0,73.0,6.3,0.0,0.0,2.0,0.1,8,60,14,26,10,1.41,1.64,0.6,6.7,43.0,13.0,81.0,11.7,0.1,0.1,3.0,0.1
11385,10741,4400465,4401623,1,65.0,1,-9999,-9999,Gmf,86,GLm,14,2,2,100,1,-9999,-9999,1,1,2,0,4,39,39,22,9,1.39,1.28,1.65,6.6,45.0,17.0,87.0,9.8,0.0,0.0,2.0,0.1,3,37,35,28,5,1.35,1.35,0.69,7.2,44.0,15.0,88.0,10.7,4.0,0.0,1.0,0.1
11388,10742,4400466,4401627,1,55.0,1,-9999,-9999,Gh,75,GLu,15,2,2,100,5,1,-9999,1,4,4,0,4,38,42,20,9,1.4,1.31,4.59,5.2,34.0,20.0,82.0,1.8,0.0,0.0,2.0,0.1,5,38,32,30,5,1.34,1.49,0.67,5.2,38.0,11.0,86.0,10.0,0.0,0.0,4.0,0.1
11392,10743,4400467,4401635,1,70.0,1,-9999,-9999,Rc,185,RGc,157,1,6,100,3,-9999,-9999,1,1,1,0,15,85,8,7,12,1.65,1.3,0.49,7.9,111.0,5.0,100.0,4.2,6.0,0.0,4.0,0.2,14,84,9,7,12,1.65,1.6,0.4,8.0,102.0,5.0,100.0,4.2,6.0,0.0,5.0,0.3
11395,10744,4400468,4401638,1,90.0,1,-9999,-9999,Rd,186,RGd,159,1,6,100,3,-9999,-9999,1,1,1,0,19,78,13,9,11,1.6,1.27,0.7,5.6,29.0,6.0,98.0,4.1,0.0,0.0,3.0,0.1,14,77,13,10,11,1.58,1.5,0.31,5.3,36.0,4.0,28.0,1.0,0.0,0.0,3.0,0.1
11398,10745,4400469,4401642,1,60.0,1,-9999,-9999,Qc,175,ARb,40,1,5,100,6,2,-9999,1,1,1,0,2,89,6,5,13,1.7,1.57,0.5,6.0,40.0,3.0,99.0,2.0,0.0,0.0,2.0,0.1,1,89,6,5,13,1.7,1.55,0.3,5.9,42.0,2.0,98.0,1.4,0.0,0.0,3.0,0.1
11403,10746,4400470,4401648,1,50.0,1,-9999,-9999,Ql,181,ARl,41,1,4,100,3,-9999,-9999,1,1,1,0,3,90,5,5,13,1.71,1.5,0.39,5.8,35.0,3.0,76.0,2.0,0.0,0.0,3.0,0.1,4,87,5,8,12,1.63,1.5,0.2,5.7,34.0,3.0,75.0,2.3,0.0,0.0,3.0,0.1
11407,10747,4400471,4401652,1,50.0,1,-9999,-9999,Qc,175,ARb,40,1,6,100,3,-9999,-9999,1,1,1,0,2,89,6,5,13,1.7,1.57,0.5,6.0,40.0,3.0,99.0,2.0,0.0,0.0,2.0,0.1,1,89,6,5,13,1.7,1.55,0.3,5.9,42.0,2.0,98.0,1.4,0.0,0.0,3.0,0.1
11412,10748,4400472,4401658,1,50.0,1,-9999,-9999,E,57,LPk,100,2,3,30,5,-9999,-9999,-9999,-9999,-9999,0,16,37,44,19,9,1.41,1.24,2.13,7.5,80.0,27.0,100.0,28.8,6.0,0.0,2.0,0.1,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
11416,10749,4400473,4401662,1,35.0,1,-9999,-9999,U,198,LPu,102,2,3,30,6,1,-9999,-9999,-9999,-9999,0,6,49,31,20,9,1.43,1.1,2.4,5.1,34.0,12.0,36.0,4.7,0.0,0.0,4.0,0.1,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
11422,10750,4400474,4401668,1,40.0,1,-9999,-9999,Be,18,CMe,62,1,5,100,3,-9999,-9999,1,1,1,0,10,77,14,9,11,1.6,1.5,0.7,6.9,49.0,7.0,91.0,6.7,0.1,0.0,2.0,0.1,20,67,16,17,11,1.48,1.5,0.4,7.3,48.0,8.0,91.0,9.3,0.1,0.0,2.0,0.1
